gene_id	color
1007_s_at	purple
1053_at	blue
117_at	turquoise
121_at	turquoise
1255_g_at	grey
1294_at	grey
1316_at	yellow
1320_at	brown
1405_i_at	brown
1431_at	turquoise
1438_at	blue
1487_at	saddlebrown
1494_f_at	turquoise
1552256_a_at	red
1552257_a_at	purple
1552258_at	grey
1552261_at	yellow
1552263_at	turquoise
1552264_a_at	yellow
1552266_at	brown
1552269_at	black
1552271_at	black
1552272_a_at	black
1552274_at	black
1552275_s_at	black
1552276_a_at	turquoise
1552277_a_at	blue
1552278_a_at	grey
1552279_a_at	blue
1552280_at	salmon
1552281_at	blue
1552283_s_at	pink
1552286_at	brown
1552287_s_at	turquoise
1552288_at	turquoise
1552289_a_at	turquoise
1552291_at	blue
1552293_at	turquoise
1552295_a_at	black
1552296_at	brown
1552299_at	brown
1552301_a_at	turquoise
1552302_at	red
1552303_a_at	red
1552304_at	blue
1552306_at	blue
1552307_a_at	brown
1552309_a_at	brown
1552310_at	magenta
1552311_a_at	turquoise
1552312_a_at	yellow
1552314_a_at	blue
1552315_at	brown
1552316_a_at	brown
1552318_at	brown
1552319_a_at	turquoise
1552320_a_at	turquoise
1552321_a_at	turquoise
1552322_at	grey
1552323_s_at	brown
1552325_at	green
1552326_a_at	turquoise
1552327_at	pink
1552329_at	blue
1552330_at	turquoise
1552332_at	black
1552334_at	darkgreen
1552335_at	turquoise
1552337_s_at	turquoise
1552338_at	turquoise
1552340_at	turquoise
1552343_s_at	grey
1552344_s_at	turquoise
1552347_at	pink
1552348_at	lightgreen
1552349_a_at	turquoise
1552354_at	turquoise
1552355_s_at	yellow
1552359_at	brown
1552360_a_at	turquoise
1552362_a_at	blue
1552364_s_at	blue
1552365_at	brown
1552367_a_at	brown
1552368_at	turquoise
1552370_at	grey
1552372_at	grey
1552373_s_at	grey
1552375_at	red
1552377_s_at	turquoise
1552378_s_at	blue
1552379_at	green
1552381_at	green
1552383_at	turquoise
1552384_a_at	turquoise
1552386_at	salmon
1552388_at	green
1552389_at	brown
1552390_a_at	brown
1552391_at	green
1552393_at	grey
1552394_a_at	brown
1552395_at	turquoise
1552396_at	turquoise
1552398_a_at	brown
1552399_a_at	blue
1552400_a_at	turquoise
1552401_a_at	turquoise
1552402_at	grey
1552405_at	turquoise
1552408_at	grey
1552409_a_at	grey
1552410_at	turquoise
1552411_at	red
1552412_a_at	turquoise
1552414_at	turquoise
1552415_a_at	yellow
1552417_a_at	blue
1552418_at	turquoise
1552419_s_at	grey
1552421_a_at	turquoise
1552422_at	turquoise
1552423_at	blue
1552424_at	turquoise
1552425_a_at	yellow
1552426_a_at	blue
1552427_at	blue
1552430_at	turquoise
1552432_at	darkturquoise
1552436_a_at	turquoise
1552438_a_at	turquoise
1552439_s_at	yellow
1552440_at	turquoise
1552445_a_at	brown
1552448_a_at	turquoise
1552449_a_at	turquoise
1552450_a_at	turquoise
1552452_at	grey
1552453_a_at	green
1552455_at	blue
1552456_a_at	turquoise
1552457_a_at	grey
1552458_at	turquoise
1552459_a_at	turquoise
1552461_at	turquoise
