,Cancer,Non-Cancer
EEF1A1,22.0,52.0
ACTB,22.0,52.0
FN1,16.0,45.0
GAPDH,22.0,52.0
UBB,22.0,52.0
HSP90AA1,22.0,49.0
YWHAQ,20.0,45.0
VIM,18.0,47.0
UBC,22.0,52.0
YWHAB,21.0,47.0
COL1A2,6.0,31.0
FTL,14.0,24.0
CFL1,21.0,45.0
YWHAZ,22.0,34.0
EGFR,1.0,
PPIA,20.0,48.0
COL1A1,5.0,25.0
RAC1,13.0,30.0
TUBB,11.0,19.0
KRT18,6.0,19.0
CLTC,3.0,7.0
KRT19,2.0,4.0
HSPB1,1.0,2.0
ANXA2,2.0,
HMGB1,9.0,9.0
SPP1,2.0,1.0
TUBA1B,3.0,3.0
ITGB1,4.0,14.0
RHOA,9.0,15.0
COL3A1,3.0,12.0
TPT1,10.0,30.0
RPS19,1.0,
PABPC1,8.0,4.0
RPS10,8.0,10.0
HLA-A,6.0,17.0
NDRG1,1.0,
IGLC1,1.0,4.0
HSPA5,1.0,
ERBB2,3.0,4.0
LGALS1,1.0,
DDX17,2.0,
B2M,2.0,3.0
JUN,1.0,2.0
S100A8,2.0,1.0
RPS6,5.0,10.0
SFN,3.0,2.0
ESR1,4.0,36.0
ALB,1.0,
TMSB4X,1.0,3.0
CANX,4.0,7.0
SQSTM1,1.0,
NFKBIA,1.0,3.0
AGR2,1.0,
RPLP1,1.0,8.0
CAV1,1.0,
HUWE1,1.0,2.0
UBA52,1.0,
CD24,1.0,2.0
STAT3,1.0,1.0
SLPI,1.0,
RPL8,1.0,3.0
KRT15,,3.0
STAT1,,4.0
SPARC,,4.0
PIP,,6.0
RPS4X,,11.0
DCN,,5.0
CTSB,,1.0
MMP9,,1.0
GJA1,,1.0
ACTA2,,2.0
FOS,,2.0
IGFBP5,,3.0
APP,,2.0
A2M,,1.0
EIF3H,,1.0
MGP,,2.0
YWHAE,,1.0
RPL23A,,1.0
MMP7,,1.0
GATA3,,1.0
