,Cancer,Non-Cancer
TSHR,36.0,17.0
CMTR1,24.0,10.0
FYB,17.0,6.0
SUN5,7.0,3.0
CEP76,2.0,1.0
HTR3B,13.0,9.0
LATS2,50.0,22.0
TOM1L2,41.0,18.0
NNAT,7.0,3.0
ZNF771,50.0,22.0
MYO5C,30.0,16.0
MT-CO1,49.0,22.0
COMMD6,20.0,10.0
S100B,17.0,11.0
HTR4,3.0,1.0
KLHL35,5.0,2.0
CCRL2,41.0,19.0
HLA-DRB1,20.0,7.0
ODC1,26.0,13.0
FBXW7,42.0,18.0
MAGED4B,7.0,4.0
WDR34,6.0,1.0
RRAS,44.0,17.0
GAPVD1,2.0,2.0
OLFML1,9.0,3.0
SUCLG1,10.0,7.0
NFKBIA,19.0,10.0
ENTPD2,6.0,1.0
CX3CR1,39.0,17.0
ARG1,29.0,9.0
DEFB124,3.0,
ISL2,3.0,2.0
MYCL,5.0,3.0
C1RL,12.0,6.0
MRPS16,10.0,1.0
PTPRR,4.0,1.0
CHRM1,18.0,7.0
LRRC47,1.0,1.0
TRPV6,16.0,4.0
ENTHD1,16.0,6.0
MAN1C1,19.0,6.0
TRMT5,10.0,5.0
CNNM2,12.0,4.0
VPS51,14.0,5.0
CACNB1,17.0,5.0
G6PD,8.0,2.0
TAS2R4,26.0,11.0
DVL2,21.0,9.0
ZNF416,1.0,
IFT122,1.0,
FOXD3,3.0,2.0
UTP15,10.0,5.0
RBM34,6.0,6.0
MAP10,2.0,2.0
TTLL4,3.0,3.0
MOGAT1,3.0,2.0
IFT20,6.0,1.0
DCHS1,5.0,2.0
GGH,4.0,1.0
CSAG1,1.0,1.0
TMEM212,4.0,
MMP9,2.0,3.0
RTP3,1.0,
PLA1A,3.0,
HIST2H2AA,11.0,5.0
POLR3E,5.0,
GIPC1,1.0,
CYP21A2,1.0,
LIN7A,5.0,2.0
PLEC,2.0,1.0
WDR47,1.0,
OR8B4,1.0,
FRMPD4,2.0,1.0
LCORL,1.0,1.0
SERPINA7,1.0,
MRPL35,1.0,
B3GALNT1,1.0,1.0
SPIN4,2.0,
MEIS1,2.0,1.0
FAR2,1.0,
ARSD,1.0,
CCDC24,1.0,
ERVFRD-1,1.0,
PLEKHO1,1.0,
DHRS12,2.0,1.0
TMEM39A,1.0,
AZI2,1.0,
PGAP1,1.0,
SH3RF2,1.0,1.0
SLA2,1.0,
FAAH,1.0,
SLC25A29,1.0,
CARD10,1.0,
MGLL,1.0,1.0
ARPIN,1.0,1.0
EREG,1.0,
ZNF202,1.0,1.0
DYNC2H1,1.0,
GPLD1,1.0,1.0
RBBP7,1.0,
PDHA1,,2.0
SPTBN1,,1.0
TM2D3,,1.0
NDUFB4,,1.0
TSLP,,2.0
IFT57,,1.0
B4GALT6,,1.0
KIF19,,1.0
TMEM187,,1.0
NCAPD2,,1.0
GALC,,1.0
ARGLU1,,1.0
UMOD,,1.0
